FIN; teemu hartikainen; Ice Hockey; 1; -; -; 2; 1990
NOR; espen bjoernstad; Nordic Combined; 1; -; -; 1; 1993
FIN; iiro pakarinen; Ice Hockey; 1; -; -; 1; 1991
ROC; tatiana sorina; Cross Country Skiing; 1; -; -; 1; 1994
FIN; sami vatanen; Ice Hockey; 1; -; -; 2; 1991
SUI; beat feuz; Alpine Skiing; 1; -; -; 3; 1987
GER; christopher grotheer; Skeleton; 1; -; -; 2; 1992
CAN; micah zandee-hart; Ice Hockey; 1; -; -; 1; 1997
SWE; walter wallberg; Freestyle Skiing; 1; -; -; 2; 2000
GER; hannah neise; Skeleton; 1; -; -; 1; 2000
CAN; emily clark; Ice Hockey; 1; -; -; 2; 1995
NOR; birk ruud; Freestyle Skiing; 1; -; -; 1; 2000
SWE; niklas edin; Curling; 1; -; -; 4; 1985
SWE; sandra naeslund; Freestyle Skiing; 1; -; -; 3; 1996
ROC; mark kondratiuk; Figure skating; 1; -; -; 1; 2003
NOR; espen andersen; Nordic Combined; 1; -; -; 2; 1993
FRA; guillaume cizeron; Figure skating; 1; -; -; 2; 1994
FIN; markus granlund; Ice Hockey; 1; -; -; 1; 1993
CAN; ashton bell; Ice Hockey; 1; -; -; 1; 1999
NED; kjeld nuis; Speed skating; 1; -; -; 2; 1989
CAN; ella shelton; Ice Hockey; 1; -; -; 1; 1998
FIN; valtteri filppula; Ice Hockey; 1; -; -; 2; 1984
AUT; alessandro haemmerle; Snowboard; 1; -; -; 3; 1993
CAN; melodie daoust; Ice Hockey; 1; -; -; 3; 1992
NED; selma poutsma; Short Track Speed Skating; 1; -; -; 1; 1999
FIN; hannes bjorninen; Ice Hockey; 1; -; -; 1; 1995
FIN; juuso hietanen; Ice Hockey; 1; -; -; 3; 1985
SWE; rasmus wranaa; Curling; 1; -; -; 2; 1994
FIN; harri sateri; Ice Hockey; 1; -; -; 1; 1989
USA; alexander hall; Freestyle Skiing; 1; -; -; 2; 1998
GER; deborah levi; Bobsleigh; 1; -; -; 1; 1997
FIN; leo komarov; Ice Hockey; 1; -; -; 2; 1987
SWE; maja dahlqvist; Cross Country Skiing; -; 2; 1; 1; 1994
GER; johannes lochner; Bobsleigh; -; 2; -; 2; 1990
FRA; anais chevalier; Biathlon; -; 2; -; 3; 1993
GER; florian bauer; Bobsleigh; -; 2; -; 1; 1994
FRA; emilien jacquelin; Biathlon; -; 2; -; 1; 1995
NED; patrick roest; Speed skating; -; 2; -; 2; 1995
AUT; wolfgang kindl; Luge; -; 2; -; 4; 1988
ITA; federica brignone; Alpine Skiing; -; 1; 1; 4; 1990
FIN; kerttu niskanen; Cross Country Skiing; -; 1; 1; 3; 1988
ROC; uliana nigmatullina; Biathlon; -; 1; 1; 1; 1994
CAN; eliot grondin; Snowboard; -; 1; 1; 2; 2001
ITA; yuri confortola; Short Track Speed Skating; -; 1; 1; 5; 1986
ROC; kristina reztsova; Biathlon; -; 1; 1; 1; 
USA; elana meyers taylor; Bobsleigh; -; 1; 1; 4; 1984
ITA; francesca lollobrigida; Speed skating; -; 1; 1; 3; 1991
ITA; pietro sighel; Short Track Speed Skating; -; 1; 1; 1; 1999
NOR; aleksander aamodt kilde; Alpine Skiing; -; 1; 1; 3; 1992
ITA; andrea cassinelli; Short Track Speed Skating; -; 1; 1; 1; 1993
ITA; omar visintin; Snowboard; -; 1; 1; 3; 1989
USA; jessica diggins; Cross Country Skiing; -; 1; 1; 3; 1991
SUI; wendy holdener; Alpine Skiing; -; 1; 1; 3; 1993
JPN; yuma kagiyama; Figure skating; -; 1; 1; 1; 2003
USA; abby roque; Ice Hockey; -; 1; -; 1; 1997
ITA; michela moioli; Snowboard; -; 1; -; 3; 1995
USA; savannah harmon; Ice Hockey; -; 1; -; 1; 1995
USA; kendall coyne; Ice Hockey; -; 1; -; 3; 1992
KOR; min kyu cha; Speed skating; -; 1; -; 2; 1993
JPN; yurika yoshida; Curling; -; 1; -; 2; 1993
ROC; anton slepyshev; Ice Hockey; -; 1; -; 1; 1994
CHN; zongyang jia; Freestyle Skiing; -; 1; -; 4; 1991
NED; jutta leerdam; Speed skating; -; 1; -; 1; 1998
USA; dani cameranesi; Ice Hockey; -; 1; -; 2; 1995
ITA; arianna valcepina; Short Track Speed Skating; -; 1; -; 1; 1994
ROC; evgenia tarasova; Figure skating; -; 1; -; 2; 1994
USA; hayley scamurra; Ice Hockey; -; 1; -; 1; 1994
JPN; satsuki fujisawa; Curling; -; 1; -; 2; 1991
CAN; laurent dubreuil; Speed skating; -; 1; -; 2; 1992
FRA; chloe trespeuch; Snowboard; -; 1; -; 3; 1994
AUT; madeleine egle; Luge; -; 1; -; 2; 1998
NOR; emil iversen; Cross Country Skiing; -; 1; -; 2; 1991
ROC; sergei telegin; Ice Hockey; -; 1; -; 1; 2000
KOR; jaewon chung; Speed skating; -; 1; -; 2; 2001
USA; hannah brandt; Ice Hockey; -; 1; -; 2; 1993
GBR; bruce mouat; Curling; -; 1; -; 1; 1994
USA; grace zumwinkle; Ice Hockey; -; 1; -; 1; 1999
ROC; andrei chibisov; Ice Hockey; -; 1; -; 1; 1993
GER; toni eggert; Luge; -; 1; -; 3; 1988
USA; alex cavallini; Ice Hockey; -; 1; -; 1; 1992
ROC; vladimir morozov; Figure skating; -; 1; -; 2; 1992
AUS; scotty james; Snowboard; -; 1; -; 4; 1994
ROC; dmitrii voronkov; Ice Hockey; -; 1; -; 1; 2000
SLO; zan kranjec; Alpine Skiing; -; 1; -; 3; 1992
FRA; fabien claude; Biathlon; -; 1; -; 1; 1994
ROC; vyacheslav voynov; Ice Hockey; -; 1; -; 3; 1990
ROC; sergei andronov; Ice Hockey; -; 1; -; 2; 1989
USA; karen chen; Figure skating; -; 1; -; 2; 1999
GBR; ross whyte; Curling; -; 1; -; 1; 1998
KOR; yoongy kwak; Short Track Speed Skating; -; 1; -; 1; 1989
ROC; ivan yakimushkin; Cross Country Skiing; -; 1; -; 1; 1996
USA; megan bozek; Ice Hockey; -; 1; -; 2; 1991
ROC; mikhail grigorenko; Ice Hockey; -; 1; -; 2; 1994
FRA; tess ledeux; Freestyle Skiing; -; 1; -; 2; 2001
NOR; mons roisland; Snowboard; -; 1; -; 2; 1997
ESP; queralt castellet; Snowboard; -; 1; -; 5; 1989
ROC; ivan fedotov; Ice Hockey; -; 1; -; 1; 1996
KOR; yubin lee; Short Track Speed Skating; -; 1; -; 2; 2001
BLR; hanna huskova; Freestyle Skiing; -; 1; -; 1; 1992
ROC; aleksandr nikishin; Ice Hockey; -; 1; -; 1; 2001
USA; nicole hensley; Ice Hockey; -; 1; -; 2; 1994
KOR; dongwook kim; Short Track Speed Skating; -; 1; -; 1; 1993
FRA; johan clarey; Alpine Skiing; -; 1; -; 4; 1981
UKR; oleksandr abramenko; Freestyle Skiing; -; 1; -; 5; 1988
