Country;Athlete;Sport;Games;Gold;Silver;Bronze;YearOfBirth
Netherlands; Yara Van Kerkhof; Short Track Speed Skating; 1; 0; 0; 3; 1990
Austria; Anna Gasser; Snowboard; 1; 0; 0; 3; 1991
Austria; Jan Hoerl; Ski Jumping; 1; 0; 0; 1; 1998
Austria; Daniel Huber; Ski Jumping; 1; 0; 0; 1; 1993
Germany; Laura Nolte; Bobsleigh; 1; 0; 0; 1; 1998
Canada; Kristen Campbell; Ice Hockey; 1; 0; 0; 1; 1997
Finland; Teemu Hartikainen; Ice Hockey; 1; 0; 0; 2; 1990
Norway; Espen Bjoernstad; Nordic Combined; 1; 0; 0; 1; 1993
Finland; Iiro Pakarinen; Ice Hockey; 1; 0; 0; 1; 1991
Russian Olympic Committee; Tatiana Sorina; Cross Country Skiing; 1; 0; 0; 1; 1994
Finland; Sami Vatanen; Ice Hockey; 1; 0; 0; 2; 1991
Switzerland; Beat Feuz; Alpine Skiing; 1; 0; 0; 3; 1987
Germany; Christopher Grotheer; Skeleton; 1; 0; 0; 2; 1992
Canada; Micah Zandee-hart; Ice Hockey; 1; 0; 0; 1; 1997
Sweden; Walter Wallberg; Freestyle Skiing; 1; 0; 0; 2; 2000
Germany; Hannah Neise; Skeleton; 1; 0; 0; 1; 2000
Canada; Emily Clark; Ice Hockey; 1; 0; 0; 2; 1995
Norway; Birk Ruud; Freestyle Skiing; 1; 0; 0; 1; 2000
Sweden; Niklas Edin; Curling; 1; 0; 0; 4; 1985
Sweden; Sandra Naeslund; Freestyle Skiing; 1; 0; 0; 3; 1996
Russian Olympic Committee; Mark Kondratiuk; Figure skating; 1; 0; 0; 1; 2003
Norway; Espen Andersen; Nordic Combined; 1; 0; 0; 2; 1993
France; Guillaume Cizeron; Figure skating; 1; 0; 0; 2; 1994
Finland; Markus Granlund; Ice Hockey; 1; 0; 0; 1; 1993
Canada; Ashton Bell; Ice Hockey; 1; 0; 0; 1; 1999
Netherlands; Kjeld Nuis; Speed skating; 1; 0; 0; 2; 1989
Canada; Ella Shelton; Ice Hockey; 1; 0; 0; 1; 1998
Finland; Valtteri Filppula; Ice Hockey; 1; 0; 0; 2; 1984
Austria; Alessandro Haemmerle; Snowboard; 1; 0; 0; 3; 1993
Canada; Melodie Daoust; Ice Hockey; 1; 0; 0; 3; 1992
Netherlands; Selma Poutsma; Short Track Speed Skating; 1; 0; 0; 1; 1999
Finland; Hannes Bjorninen; Ice Hockey; 1; 0; 0; 1; 1995
Finland; Juuso Hietanen; Ice Hockey; 1; 0; 0; 3; 1985
Sweden; Rasmus Wranaa; Curling; 1; 0; 0; 2; 1994
Finland; Harri Sateri; Ice Hockey; 1; 0; 0; 1; 1989
United States of America; Alexander Hall; Freestyle Skiing; 1; 0; 0; 2; 1998
Germany; Deborah Levi; Bobsleigh; 1; 0; 0; 1; 1997
Finland; Leo Komarov; Ice Hockey; 1; 0; 0; 2; 1987
Sweden; Maja Dahlqvist; Cross Country Skiing; 0; 2; 1; 1; 1994
Germany; Johannes Lochner; Bobsleigh; 0; 2; 0; 2; 1990
France; Anais Chevalier; Biathlon; 0; 2; 0; 3; 1993
Germany; Florian Bauer; Bobsleigh; 0; 2; 0; 1; 1994
France; Emilien Jacquelin; Biathlon; 0; 2; 0; 1; 1995
Netherlands; Patrick Roest; Speed skating; 0; 2; 0; 2; 1995
Austria; Wolfgang Kindl; Luge; 0; 2; 0; 4; 1988
Italy; Federica Brignone; Alpine Skiing; 0; 1; 1; 4; 1990
Finland; Kerttu Niskanen; Cross Country Skiing; 0; 1; 1; 3; 1988
Russian Olympic Committee; Uliana Nigmatullina; Biathlon; 0; 1; 1; 1; 1994
Canada; Eliot Grondin; Snowboard; 0; 1; 1; 2; 2001
Italy; Yuri Confortola; Short Track Speed Skating; 0; 1; 1; 5; 1986
Russian Olympic Committee; Kristina Reztsova; Biathlon; 0; 1; 1; 1; 
United States of America; Elana Meyers Taylor; Bobsleigh; 0; 1; 1; 4; 1984
Italy; Francesca Lollobrigida; Speed skating; 0; 1; 1; 3; 1991
Italy; Pietro Sighel; Short Track Speed Skating; 0; 1; 1; 1; 1999
Norway; Aleksander Aamodt Kilde; Alpine Skiing; 0; 1; 1; 3; 1992
Italy; Andrea Cassinelli; Short Track Speed Skating; 0; 1; 1; 1; 1993
Italy; Omar Visintin; Snowboard; 0; 1; 1; 3; 1989
United States of America; Jessica Diggins; Cross Country Skiing; 0; 1; 1; 3; 1991
Switzerland; Wendy Holdener; Alpine Skiing; 0; 1; 1; 3; 1993
Japan; Yuma Kagiyama; Figure skating; 0; 1; 1; 1; 2003
United States of America; Abby Roque; Ice Hockey; 0; 1; 0; 1; 1997
Italy; Michela Moioli; Snowboard; 0; 1; 0; 3; 1995
United States of America; Savannah Harmon; Ice Hockey; 0; 1; 0; 1; 1995
United States of America; Kendall Coyne; Ice Hockey; 0; 1; 0; 3; 1992
Republic of Korea; Min Kyu Cha; Speed skating; 0; 1; 0; 2; 1993
Japan; Yurika Yoshida; Curling; 0; 1; 0; 2; 1993
Russian Olympic Committee; Anton Slepyshev; Ice Hockey; 0; 1; 0; 1; 1994
People's Republic of China; Zongyang Jia; Freestyle Skiing; 0; 1; 0; 4; 1991
Netherlands; Jutta Leerdam; Speed skating; 0; 1; 0; 1; 1998
United States of America; Dani Cameranesi; Ice Hockey; 0; 1; 0; 2; 1995
Italy; Arianna Valcepina; Short Track Speed Skating; 0; 1; 0; 1; 1994
Russian Olympic Committee; Evgenia Tarasova; Figure skating; 0; 1; 0; 2; 1994
United States of America; Hayley Scamurra; Ice Hockey; 0; 1; 0; 1; 1994
Japan; Satsuki Fujisawa; Curling; 0; 1; 0; 2; 1991
Canada; Laurent Dubreuil; Speed skating; 0; 1; 0; 2; 1992
France; Chloe Trespeuch; Snowboard; 0; 1; 0; 3; 1994
Austria; Madeleine Egle; Luge; 0; 1; 0; 2; 1998
Norway; Emil Iversen; Cross Country Skiing; 0; 1; 0; 2; 1991
Russian Olympic Committee; Sergei Telegin; Ice Hockey; 0; 1; 0; 1; 2000
Republic of Korea; Jaewon Chung; Speed skating; 0; 1; 0; 2; 2001
United States of America; Hannah Brandt; Ice Hockey; 0; 1; 0; 2; 1993
Great Britain; Bruce Mouat; Curling; 0; 1; 0; 1; 1994
United States of America; Grace Zumwinkle; Ice Hockey; 0; 1; 0; 1; 1999
Russian Olympic Committee; Andrei Chibisov; Ice Hockey; 0; 1; 0; 1; 1993
Germany; Toni Eggert; Luge; 0; 1; 0; 3; 1988
United States of America; Alex Cavallini; Ice Hockey; 0; 1; 0; 1; 1992
Russian Olympic Committee; Vladimir Morozov; Figure skating; 0; 1; 0; 2; 1992
Australia; Scotty James; Snowboard; 0; 1; 0; 4; 1994
Russian Olympic Committee; Dmitrii Voronkov; Ice Hockey; 0; 1; 0; 1; 2000
Slovenia; Zan Kranjec; Alpine Skiing; 0; 1; 0; 3; 1992
France; Fabien Claude; Biathlon; 0; 1; 0; 1; 1994
Russian Olympic Committee; Vyacheslav Voynov; Ice Hockey; 0; 1; 0; 3; 1990
Russian Olympic Committee; Sergei Andronov; Ice Hockey; 0; 1; 0; 2; 1989
United States of America; Karen Chen; Figure skating; 0; 1; 0; 2; 1999
Great Britain; Ross Whyte; Curling; 0; 1; 0; 1; 1998
Republic of Korea; Yoongy Kwak; Short Track Speed Skating; 0; 1; 0; 1; 1989
Russian Olympic Committee; Ivan Yakimushkin; Cross Country Skiing; 0; 1; 0; 1; 1996
United States of America; Megan Bozek; Ice Hockey; 0; 1; 0; 2; 1991
Russian Olympic Committee; Mikhail Grigorenko; Ice Hockey; 0; 1; 0; 2; 1994
France; Tess Ledeux; Freestyle Skiing; 0; 1; 0; 2; 2001
Norway; Mons Roisland; Snowboard; 0; 1; 0; 2; 1997
Spain; Queralt Castellet; Snowboard; 0; 1; 0; 5; 1989
Russian Olympic Committee; Ivan Fedotov; Ice Hockey; 0; 1; 0; 1; 1996
Republic of Korea; Yubin Lee; Short Track Speed Skating; 0; 1; 0; 2; 2001
Belarus; Hanna Huskova; Freestyle Skiing; 0; 1; 0; 1; 1992
Russian Olympic Committee; Aleksandr Nikishin; Ice Hockey; 0; 1; 0; 1; 2001
United States of America; Nicole Hensley; Ice Hockey; 0; 1; 0; 2; 1994
Republic of Korea; Dongwook Kim; Short Track Speed Skating; 0; 1; 0; 1; 1993
France; Johan Clarey; Alpine Skiing; 0; 1; 0; 4; 1981
Ukraine; Oleksandr Abramenko; Freestyle Skiing; 0; 1; 0; 5; 1988
Japan; Ayano Sato; Speed skating; 0; 1; 0; 2; 1996
Germany; Sascha Benecken; Luge; 0; 1; 0; 3; 1990
Germany; Eric Frenzel; Nordic Combined; 0; 1; 0; 4; 1988
United States of America; Kelly Pannek; Ice Hockey; 0; 1; 0; 2; 1995
United States of America; Jincy Dunne; Ice Hockey; 0; 1; 0; 1; 1997
France; Julia Simon; Biathlon; 0; 1; 0; 1; 1996
Great Britain; Bobby Lammie; Curling; 0; 1; 0; 1; 1997
United States of America; Amanda Kessel; Ice Hockey; 0; 1; 0; 3; 1991
Russian Olympic Committee; Nikita Nesterov; Ice Hockey; 0; 1; 0; 2; 1993
